향 타입,형용사,개수,색상
시트러스,"Pretty, natural, elegant, cool-casual",4,"orange, yellow, green"
네톨리,"natural, elegant, cool-casual",3,"orange, green"
라벤더 캠퍼,"chic, modern",2,"blue, violet"
어그래틱,"chic, modern",2,"blue, violet"
스파이스,"natural, elegant, formal, cool-casual, modern",5,"orange, green, indigo"
아니스,"natural, elegant, pretty, cool-casual",4,"orange, yellow, green"
우디,"pretty, casual, gorgeous, natural, elegant, chic, cool-casual",7,"red, orange, yellow, green, violet"
플로럴,"casual, gorgeous, cool",3,"red, green"
레진,"casual, gorgeous",2,red
발사믹 앰버,"natural, gorgeous, pretty",3,"orange, yellow"
애니멀,"casual, gorgeous",2,red
민트,"casual, gorgeous",2,green
시트로렐라 시트랄,"pretty, natural",2,yellow
파인,"natural, elegant",2,orange
기타,"cool-casual, morden, chic",3,"green, blue, violet"